No,Yapı,Koordinat,Ada/Parsel,Adres,İşlev,Kat Sayısı,Tescil Bilgisi,Yapım Yılı,Mimarı,Değişmişlik Durumu,Foto,Açıklama,bolge,lat,lon,radius
3_4_41,,"39.92350285090007, 32.86517154895562",1542/34,"Ön Cebeci, Cevher Sk. No:35, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,3,39.92350285090007,32.86517154895562,6.066666666666666
3_4_43,,"39.92373823151406, 32.86540940050128",1542/18,"Ön Cebeci, Cevher Sk. No : 31, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,3,39.92373823151406,32.86540940050128,6.066666666666666
3_4_44,,"39.92386370743823, 32.86557033304799",1542/19,"Ön Cebeci, Cevher Sk. No:29, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,3,39.92386370743823,32.86557033304799,6.066666666666666
3_4_45,,"39.92396655638488, 32.865715172340046",1542/20,"Ön Cebeci, Cevher Sk. No:27, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,3,39.92396655638488,32.865715172340046,6.066666666666666
3_4_46,,"39.924110544650624, 32.865884151514095",1542/40,"Ön Cebeci, Cevher Sk. No:25, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,3,39.924110544650624,32.865884151514095,7.333333333333333
3_5_1,,"39.924456479270454, 32.86632933539508",1025/18,"Ön Cebeci, Cevher Sk. No:21, 06590 Çankaya/Ankara",Konut,6.0,Değil,,,,,,3,39.924456479270454,32.86632933539508,8.6
3_5_2,,"39.92449967547288, 32.86641516608667",1025/19,"Ön Cebeci, Cevher Sk. No:19, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,3,39.92449967547288,32.86641516608667,7.333333333333333
3_5_3,,"39.92453258684691, 32.866667293743184",1025/8,"Ön Cebeci, Cevher Sk. No:17, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,3,39.92453258684691,32.866667293743184,7.333333333333333
3_5_4,,"39.92468713734734, 32.86679458202243",1025/20,"Ön Cebeci, Cevher Sk. No:15, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,3,39.92468713734734,32.86679458202243,7.333333333333333
3_5_5,,"39.92475697547596, 32.86688603938909",1025/21,"Ön Cebeci, Cevher Sk. No:13, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,3,39.92475697547596,32.86688603938909,6.066666666666666
3_5_6,,"39.924934132546774, 32.86697995331766",1025/13,"Ön Cebeci, Cevher Sk. No:11, 06590 Çankaya/Ankara",Konut + Ticaret,6.0,Değil,,,,,,3,39.924934132546774,32.86697995331766,8.6
3_5_7,,"39.92493505064329, 32.86712994174422",1025/12,"Ön Cebeci, Boncuk Sk. No:12, 06590 Çankaya/Ankara",Konut + Ticaret,6.0,Değil,,,,,,3,39.92493505064329,32.86712994174422,8.6
3_5_8,,"39.92474280198173, 32.86710411337704",1025/15,"Ön Cebeci, Boncuk Sk. No:14, 06590 Çankaya/Ankara",Konut + Ticaret,6.0,Değil,,,,,,3,39.92474280198173,32.86710411337704,8.6
3_5_9,,"39.924519093768694, 32.8670813236413",1025/16,"Ön Cebeci, Boncuk Sk. No:16, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,3,39.924519093768694,32.8670813236413,7.333333333333333
3_5_10,,"39.924513268024214, 32.86721806205575",1025/17,"Ön Cebeci, Boncuk Sk. No:18, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,3,39.924513268024214,32.86721806205575,7.333333333333333
3_5_11,,"39.924287652743295, 32.867297699832235",1025/1,"Ön Cebeci, Boncuk Sk. No:20, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,3,39.924287652743295,32.867297699832235,7.333333333333333
3_5_12,,"39.92425299578921, 32.86728038876774",1025/24,"Ön Cebeci, Samur Sk. No:10, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,3,39.92425299578921,32.86728038876774,7.333333333333333
3_5_13,,"39.924218027310985, 32.86715164273037",1025/25,"Ön Cebeci, Samur Sk. No:12, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,Kentsel dönüşüm sonrası yeni yapı?,3,39.924218027310985,32.86715164273037,7.333333333333333
3_5_14,,"39.92413073486592, 32.867005937676865",1025/3,"Ön Cebeci, Samur Sk. No:14, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,Dönem yapısı?,3,39.92413073486592,32.867005937676865,6.066666666666666
3_5_15,,"39.92397617196479, 32.866835802779875",1025/22,"Ön Cebeci, Samur Sk. No:18, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,3,39.92397617196479,32.866835802779875,6.066666666666666
3_5_16,,"39.923829580879925, 32.86666307097686",1025/23,"Ön Cebeci, Samur Sk. No:20, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.923829580879925,32.86666307097686,7.333333333333333
3_5_17,,"39.924158697129485, 32.86666038876773",1025/5,"Ön Cebeci, Aydoğmuş Sk. No:19, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,3,39.924158697129485,32.86666038876773,6.066666666666666
3_5_18,,"39.92423605155953, 32.86645596423153",1025/6,"Ön Cebeci, Aydoğmuş Sk. No:17, 06590 Çankaya/Ankara",Konut,7.0,Değil,,,,,Kentsel dönüşüm sonrası yeni yapı?,3,39.92423605155953,32.86645596423153,9.866666666666667
3_5_19,,"39.92510962320502, 32.86744713539507",1024/6,"Ön Cebeci, Cevher Sk. No:7, 06590 Çankaya/Ankara",Konut + Ticaret,6.0,Değil,,,,,,3,39.92510962320502,32.86744713539507,8.6
3_5_20,,"39.92523921049429, 32.867637572242025",1024/7,"Ön Cebeci, Cevher Sk. No:5, 06590 Çankaya/Ankara",Konut + Ticaret,8.0,Değil,,,,,kat yüksekliği kontrol!,3,39.92523921049429,32.867637572242025,11.133333333333333
3_5_21,,"39.92537661063789, 32.86778156482152",1024/8,"Ön Cebeci, Cevher Sk. No:3, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.92537661063789,32.86778156482152,7.333333333333333
3_5_22,,"39.92549447992952, 32.86791477097688",1024/12,"Ön Cebeci, Cevher Sk. No:1, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.92549447992952,32.86791477097688,7.333333333333333
3_5_23,,"39.92522707830627, 32.867971097360176",1024/9,"Ön Cebeci, Kıbrıs Cd. No:14, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,3,39.92522707830627,32.867971097360176,6.066666666666666
3_5_24,,"39.92502549793681, 32.86808643235199",1024/10,"Ön Cebeci, Kıbrıs Cd. No:16, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,3,39.92502549793681,32.86808643235199,6.066666666666666
3_5_25,,"39.9249288214266, 32.86806497467909",1024/13,"Ön Cebeci, Kıbrıs Cd. No:18, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.9249288214266,32.86806497467909,7.333333333333333
3_5_26,,"39.92485940943709, 32.868181806558646",1024/14,"Ön Cebeci, Kıbrıs Cd. No: 20, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.92485940943709,32.868181806558646,7.333333333333333
3_5_27,,"39.92472366645804, 32.86798599306796",1024/2,"Ön Cebeci, Samur Sk. No:4, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,3,39.92472366645804,32.86798599306796,7.333333333333333
3_5_28,,"39.92462399612397, 32.86778275339246",1024/3,"Ön Cebeci, Samur Sk. No:6, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,3,39.92462399612397,32.86778275339246,7.333333333333333
3_5_29,,"39.924466805160684, 32.86755882025578",1024/11,"Ön Cebeci, Boncuk Sk. No:17, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,3,39.924466805160684,32.86755882025578,7.333333333333333
3_5_30,,"39.92473215279079, 32.86761782885625",1024/4,"Ön Cebeci, Boncuk Sk. No:15, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,3,39.92473215279079,32.86761782885625,7.333333333333333
3_5_31,,"39.92497898687225, 32.86753468037377",1024/5,"Ön Cebeci, Boncuk Sk. No:13, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,3,39.92497898687225,32.86753468037377,6.066666666666666
3_6_1,,"39.92339116944444, 32.86668006457251",801/12,"Ön Cebeci, Aydoğmuş Sk. No:20, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,3,39.92339116944444,32.86668006457251,7.333333333333333
3_6_2,,"39.92319678317175, 32.86681953944634",801/13,"Ön Cebeci, Aydoğmuş Sk. No:22, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,3,39.92319678317175,32.86681953944634,6.066666666666666
3_6_3,,"39.92311450310172, 32.867077031521085",801/29,"Ön Cebeci, Aydoğmuş Sk. No:24, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,3,39.92311450310172,32.867077031521085,7.333333333333333
3_6_4,,"39.92303230936206, 32.86703022434953",801/28,"Ön Cebeci, Dede Efendi Cd. No:31, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.92303230936206,32.86703022434953,7.333333333333333
3_6_5,,"39.92294385807031, 32.866928300403295",801/27,"Ön Cebeci, Dede Efendi Cd. No:29, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,Kentsel dönüşüm sonrası yeni yapı?,3,39.92294385807031,32.866928300403295,7.333333333333333
3_6_6,,"39.92279302445782, 32.86677929306797",801/26,"Ön Cebeci, Dede Efendi Cd. No:27, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.92279302445782,32.86677929306797,7.333333333333333
3_6_7,,"39.92274982717868, 32.866543258666134",801/25,"Ön Cebeci, Dede Efendi Cd. No:25, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.92274982717868,32.866543258666134,7.333333333333333
3_6_8,,"39.92265520447193, 32.86638232611942",801/24,"Ön Cebeci, Dede Efendi Cd. No:23, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,3,39.92265520447193,32.86638232611942,6.066666666666666
3_6_9,,"39.92252355527109, 32.86621602915448",801/23,"Ön Cebeci, Dede Efendi Cd. No:21, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,3,39.92252355527109,32.86621602915448,6.066666666666666
3_6_10,,"39.92250915611853, 32.86599608802059",801/22,"Ön Cebeci, Dede Efendi Cd. No:19, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,3,39.92250915611853,32.86599608802059,6.066666666666666
3_6_11,,"39.92241864712711, 32.86587807081967",801/21,"Ön Cebeci, Dede Efendi Cd. No:17, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,3,39.92241864712711,32.86587807081967,6.066666666666666
3_6_12,,"39.92227045136399, 32.865687804380066",801/20,"Ön Cebeci, Dede Efendi Cd. No:15, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,3,39.92227045136399,32.865687804380066,7.333333333333333
3_6_13,,"39.92218759125006, 32.86547394206159",801/19,"Ön Cebeci, Dede Efendi Cd. No:13, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,3,39.92218759125006,32.86547394206159,6.066666666666666
3_6_14,,"39.9221176521685, 32.86533714938047",801/18,"Ön Cebeci, Dede Efendi Cd. No:11, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,3,39.9221176521685,32.86533714938047,6.066666666666666
3_6_15,,"39.922049210787975, 32.86499174644068",801/38,"Ön Cebeci, Mahmut Esat Bozkurt Cd. No:29, 06590 Çankaya/Ankara",,0.0,Değil,,,,,Yıkılmış,3,39.922049210787975,32.86499174644068,1.0
3_6_16,,"39.92214394467635, 32.86488644559512",801/37,"Ön Cebeci, Mahmut Esat Bozkurt Cd. No:27, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.92214394467635,32.86488644559512,7.333333333333333
3_6_17,,"39.92221803518737, 32.86481649341615",801/36,"Ön Cebeci, Mahmut Esat Bozkurt Cd. No:25, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.92221803518737,32.86481649341615,7.333333333333333
3_6_18,,"39.92236025279937, 32.864731364231545",801/35,"Ön Cebeci, Samur Sk. No:39, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.92236025279937,32.864731364231545,7.333333333333333
3_6_19,,"39.922432480851484, 32.864898944585484",801/15,"Ön Cebeci, Samur Sk. No:37, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.922432480851484,32.864898944585484,7.333333333333333
3_6_20,,"39.922500362592544, 32.865172529914894",801/9,"Ön Cebeci, Samur Sk. No:35, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,3,39.922500362592544,32.865172529914894,6.066666666666666
3_6_21,,"39.92259498551328, 32.865344191298064",801/8,"Ön Cebeci, Samur Sk. No:33, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,3,39.92259498551328,32.865344191298064,6.066666666666666
3_6_22,,"39.92272457756206, 32.86548098396277",801/7,"Ön Cebeci, Samur Sk. No:31, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,3,39.92272457756206,32.86548098396277,6.066666666666666
3_6_23,,"39.922827428223485, 32.8656767852125",801/6,"Ön Cebeci, Samur Sk. No:29, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,3,39.922827428223485,32.8656767852125,7.333333333333333
3_6_24,,"39.922934392743706, 32.86586722205946",801/5,"Ön Cebeci, Samur Sk. No:27, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,3,39.922934392743706,32.86586722205946,6.066666666666666
3_6_25,,"39.92300844500598, 32.86604693006995",801/4,"Ön Cebeci, Samur Sk. No:25, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,3,39.92300844500598,32.86604693006995,7.333333333333333
3_6_26,,"39.92311746625351, 32.86619981596857",801/3,"Ön Cebeci, Samur Sk. No:23, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,3,39.92311746625351,32.86619981596857,7.333333333333333
3_6_27,,"39.92328819728114, 32.86647876571622",801/2,"Ön Cebeci, Samur Sk. No:21, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,Dönem yapısı? Özgün balkon korkuluğu. ,3,39.92328819728114,32.86647876571622,6.066666666666666
3_7_1,,"39.923585577050645, 32.86688202951562",1026/11,"Ön Cebeci, Aydoğmuş Sk. No:23, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.923585577050645,32.86688202951562,7.333333333333333
3_7_2,,"39.92373779405517, 32.86712342833571",1026/10,"Ön Cebeci, Samur Sk. No:15, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,3,39.92373779405517,32.86712342833571,7.333333333333333
3_7_3,,"39.92379370741782, 32.86725923033031",1026/9,"Ön Cebeci, Samur Sk. No:13, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,3,39.92379370741782,32.86725923033031,7.333333333333333
3_7_4,,"39.9239419418645, 32.86739679738942",1026/8,"Ön Cebeci, Samur Sk. No:11, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,3,39.9239419418645,32.86739679738942,7.333333333333333
3_7_5,,"39.92406642368762, 32.86750980929488",1026/7,"Ön Cebeci, Samur Sk. No:9, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,3,39.92406642368762,32.86750980929488,6.066666666666666
3_7_6,,"39.92409397169, 32.86774074132096",1026/6,"Ön Cebeci, Samur Sk. No:7, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,3,39.92409397169,32.86774074132096,6.066666666666666
3_7_7,,"39.924193169171794, 32.86796519301934",1026/5,"Ön Cebeci, Samur Sk. No:5, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,3,39.924193169171794,32.86796519301934,7.333333333333333
3_7_8,,"39.924384263215465, 32.868062275941384",1026/4,"Ön Cebeci, Samur Sk. No:3, 06590 Çankaya/Ankara",Konut,6.0,Değil,,,,,Kentsel dönüşüm sonrası yeni yapı?,3,39.924384263215465,32.868062275941384,8.6
3_7_9,Ziraat Bankası şubesi,"39.924518441419806, 32.86836069794887",1026/3,"Ön Cebeci, Kıbrıs Cd. No:22, 06590 Çankaya/Ankara",Konut + Ticaret + Banka,5.0,Değil,,,,,,3,39.924518441419806,32.86836069794887,7.333333333333333
3_7_10,,"39.92450233846218, 32.868495574077365",1026/2,"Ön Cebeci, Kıbrıs Cd. No:24, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,Çok değişmiş dönem yapısı,3,39.92450233846218,32.868495574077365,6.066666666666666
3_7_11,,"39.92439743335596, 32.868614932382854",1026/1,"Ön Cebeci, Kıbrıs Cd. No:26, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.92439743335596,32.868614932382854,7.333333333333333
3_7_12,,"39.92425676273486, 32.86870039249936",1026/23,"Ön Cebeci, Kıbrıs Cd. No:28, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,3,39.92425676273486,32.86870039249936,6.066666666666666
3_7_13,,"39.92424027636499, 32.86881377930726",1026/22,"Ön Cebeci, Dede Efendi Cd. No:55, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,Kentsel dönüşüm sonrası yeni yapı?,3,39.92424027636499,32.86881377930726,6.066666666666666
3_7_14,,"39.92406457269021, 32.86862410902264",1026/21,"Ön Cebeci, Dede Efendi Cd. No:53, 06590 Çankaya/Ankara",Konut,6.0,Değil,,,,,,3,39.92406457269021,32.86862410902264,8.6
3_7_15,,"39.92395214355982, 32.868438264231536",1026/20,"Ön Cebeci, Dede Efendi Cd. No:51, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.92395214355982,32.868438264231536,7.333333333333333
3_7_16,,"39.92379207339086, 32.86831288937901",1026/19,"Ön Cebeci, Dede Efendi Cd. No:49, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,3,39.92379207339086,32.86831288937901,6.066666666666666
3_7_17,,"39.92376167980158, 32.86814994677421",1026/18,"Ön Cebeci, Dede Efendi Cd. No:47, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,3,39.92376167980158,32.86814994677421,6.066666666666666
3_7_18,,"39.923666480973026, 32.868089864231564",1026/17,"Ön Cebeci, Dede Efendi Cd. No:45, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,3,39.923666480973026,32.868089864231564,6.066666666666666
3_7_19,,"39.92355951759651, 32.867887357443614",1026/16,"Ön Cebeci, Dede Efendi Cd. No:43, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,3,39.92355951759651,32.867887357443614,6.066666666666666
3_7_20,,"39.9235060358456, 32.86772642489689",1026/15,"Ön Cebeci, Dede Efendi Cd. No:41, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,Boşaltılmış. Kentsel dönüşüm?,3,39.9235060358456,32.86772642489689,6.066666666666666
3_7_21,,"39.92341964215523, 32.86763925310867",1026/14,"Ön Cebeci, Dede Efendi Cd. No:39, 06590 Çankaya/Ankara",,0.0,Değil,,,,,Yıkılmış,3,39.92341964215523,32.86763925310867,1.0
3_7_22,,"39.923285638059006, 32.867536422307374",1026/13,"Ön Cebeci, Dede Efendi Cd. No:37, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,3,39.923285638059006,32.867536422307374,6.066666666666666
3_7_23,,"39.92320776624246, 32.86742573541399",1026/12,"Ön Cebeci, Dede Efendi Cd. No:35, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.92320776624246,32.86742573541399,7.333333333333333
3_11_1,,"39.92256377414975, 32.86391940288037",8130/18,"Ön Cebeci, Mahmut Esat Bozkurt Cd. No:6, 06590 Çankaya/Ankara",Ticaret,7.0,Değil,,,,,,3,39.92256377414975,32.86391940288037,9.866666666666667
3_11_2,,"39.922355712201394, 32.864078209281345",8130-02-01 00:00:00,"Ön Cebeci, Mahmut Esat Bozkurt Cd. No:8, 06590 Çankaya/Ankara",Konut + Ticaret,6.0,Değil,,,,,,3,39.922355712201394,32.864078209281345,8.6
3_11_3,,"39.922266370910855, 32.86434462190445",8130-03-01 00:00:00,"Ön Cebeci, Mahmut Esat Bozkurt Cd. No:10, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,3,39.922266370910855,32.86434462190445,6.066666666666666
3_11_4,,"39.922114484154314, 32.86446900655864",8130-04-01 00:00:00,"Ön Cebeci, Mahmut Esat Bozkurt Cd. No:12, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,3,39.922114484154314,32.86446900655864,6.066666666666666
3_11_5,,"39.92197114044535, 32.864489475277054",8130-05-01 00:00:00,"Ön Cebeci, Mahmut Esat Bozkurt Cd. No:14, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,3,39.92197114044535,32.864489475277054,6.066666666666666
3_11_6,,"39.92181674047317, 32.864791153185976",8130-06-01 00:00:00,"Ön Cebeci, Mahmut Esat Bozkurt Cd. No:16, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,3,39.92181674047317,32.864791153185976,6.066666666666666
3_11_7,,"39.92175708622994, 32.86476701330396",8130/17,"Ön Cebeci, Dede Efendi Cd. No:5, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.92175708622994,32.86476701330396,7.333333333333333
3_11_8,,"39.92174209753125, 32.864601995513084",8130/17,"Ön Cebeci, Dede Efendi Cd. No:3, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.92174209753125,32.864601995513084,7.333333333333333
3_11_9,,"39.92158394051514, 32.86432230841377",8130-09-01 00:00:00,"Ön Cebeci, Dede Efendi Cd. No:1, 06590 Çankaya/Ankara",Konut + Ticaret,6.0,Değil,,,,,Kentsel dönüşüm sonrası yeni yapı?,3,39.92158394051514,32.86432230841377,8.6
3_11_10,,"39.92176496058511, 32.86421502004928",8130-10-01 00:00:00,"Ön Cebeci, İncesu Cd. No:13, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,3,39.92176496058511,32.86421502004928,6.066666666666666
3_11_11,,"39.92186369860336, 32.864107731684804",8130-11-01 00:00:00,"Ön Cebeci, İncesu Cd. No:11, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,Boşaltılmış,3,39.92186369860336,32.864107731684804,6.066666666666666
3_11_12,,"39.92198712092597, 32.864008489947665",8130-12-01 00:00:00,"Ön Cebeci, İncesu Cd. No:9, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,3,39.92198712092597,32.864008489947665,6.066666666666666
3_11_13,,"39.92212905632193, 32.863973621229206",8130/13,"Ön Cebeci, İncesu Cd. No:7, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,3,39.92212905632193,32.863973621229206,6.066666666666666
3_11_14,,"39.92225864926122, 32.86385828623838",8130/14,"Ön Cebeci, İncesu Cd. No:5, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,3,39.92225864926122,32.86385828623838,6.066666666666666
3_11_15,,"39.92139415404721, 32.864530648885776",8131/30,"İncesu, İncesu Cd. No:17, 06590 Çankaya/Ankara",,0.0,Değil,,,,,Yıkılmış,3,39.92139415404721,32.864530648885776,1.0
3_11_16,,"39.92122341829677, 32.86467012375961",8131/22,"İncesu, İncesu Cd. No:19, 06590 Çankaya/Ankara",Konut,3.0,Değil,,,,,,3,39.92122341829677,32.86467012375961,4.8
3_11_17,,"39.92107435473643, 32.86475617527711",8131/21,"İncesu, İncesu Cd. No:21, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,3,39.92107435473643,32.86475617527711,6.066666666666666
3_11_18,,"39.92095710197225, 32.86489833236004",8131/20,"İncesu, İncesu Cd. No:23, 06590 Çankaya/Ankara",Konut + Ticaret,3.0,Değil,,,,,,3,39.92095710197225,32.86489833236004,4.8
3_11_19,,"39.9208501343631, 32.86494392991495",8131/19,"İncesu, İncesu Cd. No:25, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,3,39.9208501343631,32.86494392991495,6.066666666666666
3_11_20,,"39.92072465291632, 32.865010985142746",8131/18,"İncesu, İncesu Cd. No:27, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,3,39.92072465291632,32.865010985142746,6.066666666666666
3_11_21,,"39.92059094292129, 32.86513436675073",8131/17,"İncesu, İncesu Cd. No:29, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,3,39.92059094292129,32.86513436675073,6.066666666666666
3_11_22,,"39.92049607772323, 32.86535522586985",8131/16,"İncesu, İncesu Cd. No:31, 06590 Çankaya/Ankara",Konut,3.0,Değil,,,,,,3,39.92049607772323,32.86535522586985,4.8
3_11_23,,"39.92040043131926, 32.86547656184422",8131/15,"İncesu, İncesu Cd. No:33, 06590 Çankaya/Ankara",Konut,3.0,Değil,,,,,,3,39.92040043131926,32.86547656184422,4.8
3_11_24,,"39.920291333117724, 32.865685536591734",8131/24,"İncesu, İncesu Cd. No:35, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,3,39.920291333117724,32.865685536591734,7.333333333333333
